feature = 1.0 | 0/0/0 | tanshugetrees:disk_grass
feature = 0.2 | 5/0/0 | tanshugetrees:disk_grass
feature = 0.2 | -5/0/0 | tanshugetrees:disk_grass
feature = 0.2 | 0/0/5 | tanshugetrees:disk_grass
feature = 0.2 | 0/0/-5 | tanshugetrees:disk_grass
feature = 0.2 | 5/0/5 | tanshugetrees:disk_grass
feature = 0.2 | 5/0/-5 | tanshugetrees:disk_grass
feature = 0.2 | -5/0/5 | tanshugetrees:disk_grass
feature = 0.2 | -5/0/-5 | tanshugetrees:disk_grass

feature = 1.0 | 0/0/0 | minecraft:patch_grass
feature = 1.0 | 5/0/0 | minecraft:patch_grass
feature = 1.0 | -5/0/0 | minecraft:patch_grass
feature = 1.0 | 0/0/5 | minecraft:patch_grass
feature = 1.0 | 0/0/-5 | minecraft:patch_grass
feature = 1.0 | 5/0/5 | minecraft:patch_grass
feature = 1.0 | 5/0/-5 | minecraft:patch_grass
feature = 1.0 | -5/0/5 | minecraft:patch_grass
feature = 1.0 | -5/0/-5 | minecraft:patch_grass
