feature = 1.0 | 0/0/0 | tanshugetrees:grass_desert
feature = 0.5 | 8/0/0 | tanshugetrees:grass_desert
feature = 0.5 | -8/0/0 | tanshugetrees:grass_desert
feature = 0.5 | 0/0/8 | tanshugetrees:grass_desert
feature = 0.5 | 0/0/-8 | tanshugetrees:grass_desert
feature = 0.5 | 8/0/8 | tanshugetrees:grass_desert
feature = 0.5 | 8/0/-8 | tanshugetrees:grass_desert
feature = 0.5 | -8/0/8 | tanshugetrees:grass_desert
feature = 0.5 | -8/0/-8 | tanshugetrees:grass_desert

feature = 1.0 | 0/0/0 | minecraft:patch_grass
feature = 1.0 | 8/0/0 | minecraft:patch_grass
feature = 1.0 | -8/0/0 | minecraft:patch_grass
feature = 1.0 | 0/0/8 | minecraft:patch_grass
feature = 1.0 | 0/0/-8 | minecraft:patch_grass
feature = 1.0 | 8/0/8 | minecraft:patch_grass
feature = 1.0 | 8/0/-8 | minecraft:patch_grass
feature = 1.0 | -8/0/8 | minecraft:patch_grass
feature = 1.0 | -8/0/-8 | minecraft:patch_grass
