block = 0.1 | 1/0/0 | 0/-5/0/0/0/0 | minecraft:vine[west=true] | #tanshugetrees:air_blocks
block = 0.1 | 1/0/0 | 0/-10/0/0/0/0 | minecraft:vine[west=true] | #tanshugetrees:air_blocks
block = 0.1 | 1/0/0 | 0/-15/0/0/0/0 | minecraft:vine[west=true] | #tanshugetrees:air_blocks
block = 0.1 | 1/0/0 | 0/-20/0/0/0/0 | minecraft:vine[west=true] | #tanshugetrees:air_blocks

block = 0.1 | -1/0/0 | 0/-5/0/0/0/0 | minecraft:vine[east=true] | #tanshugetrees:air_blocks
block = 0.1 | -1/0/0 | 0/-10/0/0/0/0 | minecraft:vine[east=true] | #tanshugetrees:air_blocks
block = 0.1 | -1/0/0 | 0/-15/0/0/0/0 | minecraft:vine[east=true] | #tanshugetrees:air_blocks
block = 0.1 | -1/0/0 | 0/-20/0/0/0/0 | minecraft:vine[east=true] | #tanshugetrees:air_blocks

block = 0.1 | 0/0/1 | 0/-5/0/0/0/0 | minecraft:vine[north=true] | #tanshugetrees:air_blocks
block = 0.1 | 0/0/1 | 0/-10/0/0/0/0 | minecraft:vine[north=true] | #tanshugetrees:air_blocks
block = 0.1 | 0/0/1 | 0/-15/0/0/0/0 | minecraft:vine[north=true] | #tanshugetrees:air_blocks
block = 0.1 | 0/0/1 | 0/-20/0/0/0/0 | minecraft:vine[north=true] | #tanshugetrees:air_blocks

block = 0.1 | 0/0/-1 | 0/-5/0/0/0/0 | minecraft:vine[south=true] | #tanshugetrees:air_blocks
block = 0.1 | 0/0/-1 | 0/-10/0/0/0/0 | minecraft:vine[south=true] | #tanshugetrees:air_blocks
block = 0.1 | 0/0/-1 | 0/-15/0/0/0/0 | minecraft:vine[south=true] | #tanshugetrees:air_blocks
block = 0.1 | 0/0/-1 | 0/-20/0/0/0/0 | minecraft:vine[south=true] | #tanshugetrees:air_blocks
